기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NYSE,Digital Realty Trust Inc,DLR,0,180.21,1.7,16.5,4.2,25.8,19.6,0.82,
2026-03-31,NYSE,Energy Transfer Units,ET,0,19.3,2.4,17.0,12.5,3.8,19.4,-1.92,
2026-03-31,NYSE,HCA Healthcare Inc,HCA,0,473.24,-10.7,1.4,11.0,37.0,19.3,-0.3,
2026-03-31,NYSE,British American Tobacco plc ADR,BTI,0,58.47,-6.7,3.3,10.2,41.3,19.3,-0.32,
2026-03-31,NASDAQ,Evergy Inc,EVRG,0,81.92,-2.1,13.0,7.8,18.8,19.1,1.12,
2026-03-31,NYSE,Coca-Cola Co,KO,0,76.05,-6.8,8.8,14.7,6.2,19.0,0.88,
2026-03-31,NYSE,Welltower Inc,WELL,0,197.71,-4.5,6.5,11.0,29.0,18.8,2.34,
2026-03-31,NYSE,Sempra,SRE,0,97.17,0.9,10.1,8.0,36.2,18.8,2.09,
2026-03-31,NYSE,Banco Santander SA ADR,SAN,0,11.28,-8.7,-3.8,7.6,68.4,18.8,1.15,
2026-03-31,NYSE,General Motors Co,GM,0,74.5,-5.3,-8.4,22.2,58.4,18.7,-2.63,
2026-03-31,NYSE,Mitsubishi UFJ Financial Group Inc ADR,MUFG,0,16.97,-9.0,7.0,6.5,24.5,18.2,3.01,
2026-03-31,NASDAQ,Texas Instruments Inc,TXN,0,194.14,-8.5,11.9,5.7,8.0,18.2,0.38,
2026-03-31,NASDAQ,Costco Wholesale Corp,COST,0,996.43,-1.4,15.5,7.6,5.4,18.0,1.86,
2026-03-31,NYSE,Prologis Inc,PLD,0,132.18,-7.3,3.5,15.4,18.2,17.8,1.2,
2026-03-31,NYSE,Enbridge Inc,ENB,0,54.14,1.9,13.2,7.3,22.2,17.7,0.02,
2026-03-31,NASDAQ,Linde PLC,LIN,0,495.76,-2.4,16.3,4.4,6.5,17.7,1.38,
2026-03-31,NASDAQ,Interactive Brokers Group Inc,IBKR,0,67.07,-5.8,4.3,-2.5,62.0,17.5,1.0,
2026-03-31,NASDAQ,CME Group Inc,CME,0,295.35,-7.6,8.2,9.3,11.3,17.2,3.3,
2026-03-31,NASDAQ,PepsiCo Inc,PEP,0,155.29,-8.5,8.2,10.6,3.6,16.8,1.11,
2026-03-31,NYSE,Pfizer Inc,PFE,0,28.08,1.6,12.8,10.2,10.8,16.7,0.85,
2026-03-31,NYSE,Bank of Montreal,BMO,0,135.34,-6.0,4.3,3.9,41.7,16.7,0.66,
2026-03-31,NYSE,Eaton Corporation PLC,ETN,0,357.67,-4.9,12.3,-4.4,31.6,16.4,0.96,
2026-03-31,NASDAQ,Incyte Corp,INCY,0,94.12,-7.1,-4.7,11.0,55.4,16.3,1.92,
2026-03-31,NASDAQ,Exelon Corp,EXC,0,49.02,-0.9,12.5,8.9,6.4,16.2,0.63,
2026-03-31,NYSE,Canadian Pacific Kansas City Ltd,CP,0,78.66,-10.2,6.8,5.6,12.0,15.8,0.39,
2026-03-31,NYSE,Altria Group Inc,MO,0,65.99,-4.4,14.4,-0.1,9.9,15.7,-0.35,
2026-03-31,NYSE,MPLX Common Units,MPLX,0,57.07,-3.2,6.9,14.3,6.6,15.6,-2.05,
2026-03-31,NYSE,Banco Bilbao Vizcaya Argentaria SA ADR,BBVA,0,21.66,-6.4,-7.1,12.5,59.0,15.6,1.2,
2026-03-31,NYSE,TJX Companies Inc,TJX,0,159.7,-1.2,4.0,10.5,31.1,15.2,1.0,
2026-03-31,NYSE,Chubb Limited,CB,0,325.93,-4.4,4.4,15.5,7.9,15.1,0.74,
2026-03-31,NASDAQ,Dollar Tree Inc,DLTR,0,109.51,-13.4,-11.0,16.0,45.9,15.1,-0.98,
2026-03-31,NYSE,Colgate-Palmolive Co,CL,0,85.23,-14.0,7.9,6.6,-9.0,14.8,-0.11,
2026-03-31,NASDAQ,Microchip Technology Inc,MCHP,0,64.61,-13.4,1.4,0.6,33.5,14.8,1.53,
2026-03-31,NYSE,Trane Technologies PLC,TT,0,416.74,-9.9,7.1,-1.2,23.7,14.7,2.48,
2026-03-31,NYSE,Bank of New York Mellon Corp,BK,0,118.63,-0.4,2.2,8.9,41.4,14.7,2.95,
2026-03-31,NYSE,Air Products and Chemicals Inc,APD,0,290.49,5.4,17.6,6.5,-1.5,14.3,1.05,
2026-03-31,NASDAQ,Alliant Energy Corp,LNT,0,71.76,-0.8,10.4,6.5,11.5,14.2,1.52,
2026-03-31,NYSE,Citigroup Inc,C,0,113.41,2.9,-2.8,11.7,59.8,14.1,1.62,
2026-03-31,NYSE,United Parcel Service Inc,UPS,0,98.38,-15.2,-0.8,17.8,-10.6,13.7,-0.2,
2026-03-31,NYSE,Duke Energy Corp,DUK,0,130.94,0.1,11.7,5.8,7.4,13.7,0.98,
2026-03-31,NASDAQ,Cisco Systems Inc,CSCO,0,77.59,-2.4,0.7,13.4,25.7,13.6,1.84,
2026-03-31,NYSE,AT&T Inc,T,0,28.99,3.5,16.7,2.7,2.5,13.4,-2.28,
2026-03-31,NASDAQ,Fastenal Co,FAST,0,46.4,0.8,15.6,-5.4,19.7,13.3,-0.22,
2026-03-31,NASDAQ,Northern Trust Corp,NTRS,0,139.57,-2.5,2.2,3.7,41.5,13.1,1.92,
2026-03-31,NYSE,Canadian National Railway Co,CNI,0,102.77,-8.4,4.0,9.0,5.4,13.0,1.37,
2026-03-31,NYSE,Motorola Solutions Inc,MSI,0,433.97,-10.0,13.2,-5.1,-0.9,12.9,1.15,
2026-03-31,NYSE,Realty Income Corp,O,0,61.18,-8.7,8.5,0.6,5.5,12.6,1.68,
2026-03-31,NYSE,Lloyds Banking Group PLC ADR,LYG,0,5.03,-9.4,-5.1,10.8,31.7,12.3,3.58,
2026-03-31,NYSE,Bank of Nova Scotia,BNS,0,69.31,-8.5,-5.9,7.2,46.1,12.3,1.17,
2026-03-31,NASDAQ,Natera Inc,NTRA,0,199.99,-3.9,-12.7,24.2,41.4,12.2,4.0,
2026-03-31,NYSE,Goldman Sachs Group Inc,GS,0,845.99,-1.6,-3.8,6.2,54.9,11.9,2.02,
2026-03-31,NYSE,Toyota Motor Corp ADR,TM,0,206.09,-15.0,-3.7,7.8,16.7,11.8,0.45,
2026-03-31,NASDAQ,Monster Beverage Corp,MNST,0,72.46,-15.1,-5.5,7.7,23.8,11.7,-0.12,
2026-03-31,NASDAQ,Hologic Inc,HOLX,0,75.59,0.3,1.5,12.0,22.4,11.5,0.08,
2026-03-31,NYSE,Royal Bank of Canada,RY,0,161.78,-3.3,-5.1,9.8,43.5,11.2,1.0,
2026-03-31,NYSE,Southern Co,SO,0,96.52,-0.9,10.7,1.8,5.0,10.9,0.96,
2026-03-31,NYSE,Illinois Tool Works Inc,ITW,0,260.29,-10.4,5.7,-0.2,5.0,10.7,-0.8,
