기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSDAQ,다우데이타,032190,8464,21950,-17.2,19.3,25.2,94.6,44.02,51.17,134.93,55.5,0.68,76.0
2026-03-31,KOSPI,LG이노텍,011070,77036,293500,-8.0,8.3,56.3,83.6,17.71,69.86,99.5,55.5,10.9,158.0
2026-03-31,KOSPI,한솔케미칼,014680,29619,252500,-25.3,11.0,20.8,113.4,48.57,61.72,185.71,54.5,3.17,104.0
2026-03-31,KOSDAQ,제룡전기,033100,7244,43500,-22.0,23.9,32.2,37.2,58.97,69.6,76.03,53.7,3.68,201.0
2026-03-31,KOSDAQ,펩트론,087010,64822,293500,3.0,15.6,-2.2,219.0,12.2,-5.0,209.78,53.7,-5.28,152.0
2026-03-31,KOSPI,LG전자,066570,174451,105600,-27.5,14.9,39.7,36.8,58.54,92.72,88.73,52.9,1.42,190.0
2026-03-31,KOSPI,HJ중공업,097230,20948,21750,-14.0,3.3,-22.3,268.6,20.19,-9.64,328.81,52.2,6.67,
2026-03-31,KOSDAQ,서부T&D,006730,8434,13040,-16.7,-0.5,32.8,137.1,19.47,59.37,184.55,51.8,-0.38,50.0
2026-03-31,KOSPI,포스코퓨처엠,003670,185897,203500,-17.6,8.8,41.8,74.5,32.09,72.13,111.82,51.7,2.7,166.0
2026-03-31,KOSPI,다우기술,023590,19763,43150,-20.5,11.1,17.6,118.6,39.77,47.96,175.08,51.6,2.09,
2026-03-31,KOSPI,DB손해보험,005830,111222,163800,-10.5,24.9,18.3,84.9,39.66,32.2,106.66,51.3,-2.14,197.0
2026-03-31,KOSPI,이수페타시스,007660,77813,98000,-23.2,-17.8,37.4,175.3,7.05,78.96,258.43,51.2,8.16,96.0
2026-03-31,KOSDAQ,피엔티,137400,11205,47300,-13.5,25.8,38.5,21.8,45.48,60.18,40.8,51.0,0.0,
2026-03-31,KOSPI,한화에어로스페이스,012450,792529,1249000,4.5,32.7,12.8,102.3,26.99,7.95,93.55,50.8,23.06,106.0
2026-03-31,KOSPI,에코프로머티,450080,51578,67000,-6.8,28.6,41.6,15.9,38.0,52.01,24.39,50.3,9.1,217.0
2026-03-31,KOSPI,한온시스템,018880,38176,3740,-19.4,26.1,31.9,10.7,56.49,63.67,37.36,48.7,-0.53,276.0
2026-03-31,KOSPI,GS,078930,60023,63800,-7.1,13.3,38.8,73.4,22.02,49.51,86.68,48.3,1.25,128.0
2026-03-31,KOSPI,팬오션,028670,27476,4895,-7.3,27.1,26.8,45.0,37.14,36.79,56.44,47.8,5.01,
2026-03-31,KOSPI,우리금융지주,316140,233803,32050,-11.0,14.5,23.5,94.2,28.57,38.73,118.18,47.7,-0.62,162.0
