기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-09,KOSDAQ,디앤디파마텍,347850,30093,68700,286958,1.3,-27.3,-1.2,307.3,38.3,93,-28.23,-2.47,302.07
2026-04-09,KOSPI,DB하이텍,000990,40285,92600,292732,18.0,-12.5,57.5,141.5,38.1,163,-25.85,33.47,104.66
2026-04-09,KOSPI,가온전선,000500,17138,103600,13259,6.3,18.3,23.3,71.8,37.5,107,11.29,15.99,61.62
2026-04-09,KOSDAQ,덕산네오룩스,213420,11720,47200,300070,-6.0,20.9,12.1,58.7,37.5,209,28.62,19.26,68.83
2026-04-09,KOSPI,KB금융,105560,574935,154200,989025,8.7,14.1,32.2,71.0,37.2,200,4.97,21.62,57.31
2026-04-09,KOSDAQ,SFA반도체,036540,11117,6760,1428541,12.9,-13.8,58.1,125.7,36.8,121,-23.65,40.04,99.91
2026-04-09,KOSDAQ,성일하이텍,365340,8136,66300,110179,11.1,-6.4,54.4,96.7,35.9,104,-15.75,38.97,77.05
2026-04-09,KOSDAQ,하나머티리얼즈,166090,11629,58800,198950,-3.4,-12.1,42.9,111.5,35.8,122,-9.01,47.93,118.94
2026-04-09,KOSPI,삼성물산,028260,486506,300000,398764,18.3,-0.5,32.7,145.1,35.8,158,-15.89,12.17,107.19
2026-04-09,KOSPI,효성,004800,25043,149600,20145,16.4,-2.1,18.1,181.7,35.5,118,-15.89,1.46,142.01
2026-04-09,KOSPI,GS,078930,64483,69400,308158,8.8,1.0,44.7,79.3,34.7,187,-7.17,33.0,64.8
2026-04-09,KOSPI,팬오션,028670,27797,5200,2277177,6.2,10.6,35.8,55.9,34.5,188,4.14,27.87,46.8
2026-04-09,KOSPI,현대제철,004020,52310,39200,1731024,16.5,25.4,18.8,60.0,33.5,241,7.64,1.97,37.34
2026-04-09,KOSPI,iM금융지주,139130,27145,16900,438834,1.1,9.0,27.7,64.4,33.4,212,7.81,26.31,62.61
2026-04-09,KOSPI,롯데케미칼,011170,41363,96700,459803,20.0,15.9,36.8,60.4,33.2,223,-3.42,14.0,33.67
2026-04-09,KOSDAQ,씨아이에스,222080,9318,11980,1520111,3.3,-9.4,58.3,65.9,33.1,76,-12.29,53.24,60.6
2026-04-09,KOSPI,KCC,002380,46298,521000,36874,8.1,6.5,18.5,108.8,32.2,170,-1.48,9.62,93.15
2026-04-09,KOSPI,BNK금융지주,138930,54183,17460,1467624,-2.4,5.1,26.4,68.7,32.2,204,7.68,29.51,72.85
2026-04-09,KOSPI,HJ중공업,097230,22844,25300,1069061,16.3,0.4,-10.0,222.3,31.6,177,-13.67,-22.61,177.13
2026-04-09,KOSPI,에스원,012750,35567,93600,39388,9.2,17.6,24.8,47.4,31.3,248,7.69,14.29,34.98
2026-04-09,KOSDAQ,성광벤드,014620,10290,38750,190997,10.4,18.7,23.0,42.2,29.7,205,7.52,11.41,28.8
2026-04-09,KOSDAQ,고영,098460,18605,27100,1039721,10.8,-19.5,62.3,96.4,29.4,146,-27.35,46.48,77.26
2026-04-09,KOSDAQ,큐리옥스바이오시스템즈,445680,13165,76900,164135,-24.2,-34.8,1.6,217.8,28.6,59,-13.98,34.04,319.26
2026-04-09,KOSPI,대한조선,439260,33517,87000,137390,1.5,25.0,17.4,0.0,27.9,227,23.15,15.67,-1.48
2026-04-09,KOSDAQ,솔브레인,357780,31192,401000,46030,10.2,-17.9,41.7,130.5,27.5,138,-25.5,28.58,109.17
2026-04-09,KOSDAQ,에스티팜,237690,29388,141100,82428,-2.4,-11.6,39.3,78.6,27.3,141,-9.43,42.73,82.99
2026-04-09,KOSDAQ,HPSP,403870,36788,44700,1273356,9.3,-3.9,29.2,99.1,26.7,198,-12.08,18.21,82.16
2026-04-09,KOSPI,한미약품,128940,62389,487000,104309,-5.4,0.6,14.6,81.0,26.7,154,6.34,21.14,91.33
2026-04-09,KOSPI,한솔케미칼,014680,30415,267500,92696,5.9,-5.3,15.1,131.2,26.5,173,-10.58,8.69,118.32
2026-04-09,KOSDAQ,엘앤씨바이오,290650,15877,63900,194581,-5.1,-30.7,21.0,187.8,26.0,112,-26.98,27.5,203.27
2026-04-09,KOSDAQ,오스코텍,039200,20047,52400,405475,3.6,-5.8,27.8,90.2,25.6,237,-9.07,23.36,83.59
