기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-15,NYSE,Banco Santander SA ADR,SAN,0,12.49,9478275,10.7,-2.0,23.1,78.4,6.7,156.0,-11.47,11.2,61.16
2026-04-15,NASDAQ,Fifth Third Bancorp,FITB,0,49.84,6583097,7.3,-0.8,19.8,38.7,6.6,151.0,-7.55,11.65,29.26
2026-04-15,NASDAQ,CME Group Inc,CME,0,296.9,1514365,0.5,2.7,11.8,7.2,6.6,106.0,2.19,11.24,6.67
2026-04-15,NASDAQ,Exelon Corp,EXC,0,47.88,6652117,-2.3,6.9,3.8,2.1,6.6,94.0,9.42,6.24,4.5
2026-04-15,NASDAQ,Costco Wholesale Corp,COST,0,984.75,1774708,-1.2,4.7,8.0,-1.0,6.6,86.0,5.97,9.31,0.2
2026-04-15,NYSE,Pfizer Inc,PFE,0,27.19,23812615,-3.2,2.8,10.3,11.4,6.4,91.0,6.2,13.95,15.08
2026-04-15,NYSE,ING Groep NV ADR,ING,0,29.52,2280394,13.3,0.4,18.4,52.4,6.3,180.0,-11.39,4.5,34.51
2026-04-15,NASDAQ,Coca-Cola Europacific Partners PLC,CCEP,0,96.17,1603993,6.1,4.9,8.3,6.0,6.1,149.0,-1.13,2.07,-0.09
2026-04-15,NASDAQ,Arch Capital Group Ltd,ACGL,0,97.47,1562298,1.5,1.5,12.9,7.5,6.1,141.0,-0.0,11.23,5.91
2026-04-15,NASDAQ,Alphabet Inc Class A,GOOGL,0,337.12,24854068,17.2,-0.3,19.9,112.3,6.1,146.0,-14.93,2.3,81.14
2026-04-15,NYSE,Waste Management Inc,WM,0,224.93,2268400,-2.1,1.2,12.6,-3.6,6.1,131.0,3.37,15.02,-1.53
2026-04-15,NYSE,Bank of Nova Scotia,BNS,0,75.36,1402685,8.7,0.9,14.9,50.8,5.7,168.0,-7.18,5.7,38.73
2026-04-15,NASDAQ,Gilead Sciences Inc,GILD,0,139.77,3789092,0.3,-1.5,16.7,31.2,5.6,65.0,-1.79,16.35,30.81
2026-04-15,NYSE,McKesson Corp,MCK,0,863.42,465580,-0.2,3.9,6.4,21.1,5.3,108.0,4.11,6.61,21.34
2026-04-15,NASDAQ,Fastenal Co,FAST,0,44.4,8841192,-4.3,2.4,7.9,9.7,5.3,115.0,7.0,12.75,14.63
2026-04-15,NYSE,Northrop Grumman Corp,NOC,0,678.59,358795,-0.5,-2.0,16.3,39.5,5.2,67.0,-1.51,16.88,40.2
2026-04-15,NYSE,Duke Energy Corp,DUK,0,127.98,3294556,-2.3,5.5,3.0,4.9,5.2,104.0,7.98,5.42,7.37
2026-04-15,NASDAQ,Medline Inc,MDLN,0,47.93,3862591,7.7,8.4,0.0,0.0,5.1,136.0,0.65,-7.15,-7.15
2026-04-15,NASDAQ,Alphabet Inc Class C,GOOG,0,334.47,15055975,16.6,-1.2,18.7,107.9,5.0,150.0,-15.27,1.8,78.3
2026-04-15,NASDAQ,Microchip Technology Inc,MCHP,0,74.49,6804087,15.3,-1.9,19.3,61.7,4.9,143.0,-14.92,3.47,40.24
2026-04-15,NASDAQ,JD.com Inc ADR,JD,0,31.47,14072876,6.4,10.5,-4.8,-3.5,4.8,190.0,3.85,-10.53,-9.3
2026-04-15,NYSE,Southern Co,SO,0,94.64,3568778,-1.9,6.0,0.6,3.0,4.6,117.0,8.05,2.55,4.99
2026-04-15,NYSE,Coca-Cola Co,KO,0,75.31,16128793,-1.0,0.7,9.3,3.8,4.3,92.0,1.72,10.4,4.85
2026-04-15,NASDAQ,Advanced Micro Devices Inc,AMD,0,258.12,23532806,26.9,9.0,0.8,165.1,3.9,123.0,-14.11,-20.57,108.9
2026-04-15,NASDAQ,Expedia Group Inc,EXPE,0,257.44,1426571,11.5,-2.8,17.0,64.0,3.7,218.0,-12.83,4.93,47.09
2026-04-15,NYSE,RTX Corp,RTX,0,198.39,4420434,2.8,-1.3,11.1,57.3,3.3,105.0,-3.99,8.07,53.02
2026-04-15,NASDAQ,PepsiCo Inc,PEP,0,154.85,6895711,-0.3,0.8,6.0,14.2,3.0,101.0,1.1,6.32,14.54
2026-04-15,NYSE,Arista Networks Inc,ANET,0,154.33,5804966,25.7,8.9,-2.1,87.6,2.8,215.0,-13.37,-22.12,49.24
2026-04-15,NASDAQ,Cincinnati Financial Corp,CINF,0,163.0,512259,3.6,1.3,5.4,17.1,2.7,173.0,-2.22,1.74,13.03
2026-04-15,NASDAQ,Charter Communications Inc,CHTR,0,220.29,1995557,2.0,6.9,-5.8,-43.8,2.3,191.0,4.8,-7.65,-44.9
2026-04-15,NYSE,Lloyds Banking Group PLC ADR,LYG,0,5.61,18827104,11.5,-6.0,19.1,42.0,2.3,153.0,-15.7,6.82,27.35
2026-04-15,NYSE,Goldman Sachs Group Inc,GS,0,899.49,2399730,6.3,-3.8,14.0,64.3,2.3,167.0,-9.5,7.24,54.56
2026-04-15,NYSE,HCA Healthcare Inc,HCA,0,488.58,1016084,3.2,0.1,6.3,41.6,2.2,124.0,-3.0,3.0,37.21
2026-04-15,NYSE,Amphenol Corp,APH,0,146.98,5447771,16.3,2.0,5.5,91.0,2.0,174.0,-12.3,-9.29,64.23
2026-04-15,NYSE,UnitedHealth Group Inc,UNH,0,314.05,4152289,16.1,9.5,-8.1,-23.7,1.8,258.0,-5.68,-20.84,-34.28
2026-04-15,NASDAQ,Amazon.com Inc,AMZN,0,248.5,42574235,19.3,3.8,1.8,34.7,1.5,204.0,-12.99,-14.67,12.91
2026-04-15,NYSE,Carvana Co,CVNA,0,371.08,2884541,18.0,-7.5,21.1,51.9,1.4,,-21.61,2.63,28.73
2026-04-15,NYSE,General Electric Co,GE,0,313.93,3004062,10.6,2.3,1.6,55.8,1.2,194.0,-7.5,-8.14,40.87
2026-04-15,NASDAQ,Astera Labs  Inc,ALAB,0,172.09,5040452,57.0,14.3,-7.8,163.5,1.2,297.0,-27.2,-41.27,67.83
2026-04-15,NASDAQ,Xcel Energy Inc,XEL,0,78.65,5033498,-1.0,3.4,-3.1,11.2,1.2,132.0,4.44,-2.12,12.32
2026-04-15,NYSE,Intercontinental Exchange Inc,ICE,0,165.07,1374522,5.0,-5.0,12.8,-1.7,1.1,181.0,-9.52,7.43,-6.38
2026-04-15,NYSE,Bank of America Corp,BAC,0,54.32,54186483,11.4,2.1,1.6,36.2,1.0,216.0,-8.35,-8.8,22.26
2026-04-15,NASDAQ,Apple Inc,AAPL,0,266.43,49686657,5.0,2.7,-1.5,25.4,0.8,183.0,-2.19,-6.19,19.43
2026-04-15,NASDAQ,NVIDIA Corp,NVDA,0,198.87,177529760,14.0,4.0,-1.8,82.6,0.7,197.0,-8.77,-13.86,60.18
2026-04-15,NYSE,United Parcel Service Inc,UPS,0,103.57,5190404,5.3,-2.5,7.4,8.7,0.7,118.0,-7.41,1.99,3.23
