단축코드,액면가
155650,500
049480,500
073640,100
332370,500
111110,500
049470,100
000910,500
302430,500
452300,200
460870,100
459550,100
015710,500
004410,100
373160,500
479960,200
082210,500
246690,500
002760,200
089150,500
040350,500
072770,500
222420,100
372910,200
053350,500
196300,500
063440,500
037330,500
37550K,5000
109860,500
340440,100
072470,500
347740,500
010240,500
318160,500
145170,500
170790,500
054300,500
064240,500
099410,500
333620,100
001465,500
218150,100
049550,500
457370,500
206560,500
352910,500
393210,500
067370,500
087260,500
002630,2630
053270,500
007370,500
480370,100
092440,500
289220,500
122310,500
189980,100
033170,500
096630,200
068330,100
950200,0
173940,500
006370,5000
011000,1000
080010,500
456570,500
378850,500
137080,500
198080,500
088910,500
288620,500
004910,500
014190,500
004770,500
365590,100
079000,500
177900,500
001840,500
199550,500
303360,500
021050,500
006490,500
004780,500
294090,100
005305,500
215090,500
369370,100
261200,500
009835,5000
011330,500
033830,500
050960,500
080520,500
093240,500
185490,500
025560,500
037950,500
357250,0
053620,500
052790,500
143540,500
033200,500
053950,100
033560,500
263690,500
031310,500
009190,500
104200,500
017180,500
127980,100
092780,500
407400,100
196450,1000
219750,2
008370,500
092300,500
000890,500
090410,100
419120,500
033540,500
005670,500
238120,500
014990,500
351330,500
004450,5000
0010V0,500
053980,500
229000,500
297570,100
045340,500
237820,500
038010,500
429270,500
094970,500
003465,1000
041650,500
007680,500
075180,500
256630,100
099520,500
471820,100
403490,100
100030,500
066360,500
140430,100
245620,100
004920,500
007120,500
052460,500
114450,500
001210,500
000950,5000
133820,500
452200,100
277070,500
123700,500
440290,500
097800,500
069410,500
038070,500
073540,500
070300,500
089790,500
28513K,5000
011300,100
006920,500
122350,100
450330,500
340930,500
413640,500
332290,100
032540,500
179530,500
090080,500
032960,500
105760,500
419080,500
100660,500
384470,500
010770,500
066130,500
466410,500
023350,500
219420,100
003475,5000
065770,500
025530,500
012280,500
024950,500
053160,500
364950,500
043910,500
217480,200
106240,500
122690,500
007815,500
067170,500
311390,500
056700,500
032860,500
007610,500
476080,100
097870,500
189690,500
361570,500
064480,500
452160,100
460470,500
013720,1000
007530,500
126640,100
215380,500
026940,500
003080,500
023960,500
002410,1000
103840,100
049800,500
320000,100
352700,500
054780,500
190650,5000
314140,500
189860,500
465480,100
250000,500
016600,500
239890,500
363250,500
046310,500
260660,500
096610,500
088340,500
160550,500
027740,500
051490,500
057540,500
263810,500
186230,500
012160,500
200350,500
258610,500
432430,500
086040,500
065130,500
026040,500
025880,500
043340,500
038880,100
011420,500
393970,500
081580,500
008420,500
011230,1000
273060,100
091590,500
003060,500
388610,500
241840,500
300120,500
087600,500
288980,500
376180,100
006125,5000
335810,500
001380,500
058110,500
009320,500
006050,500
336060,100
060850,500
199480,500
148250,500
250030,500
066670,500
481850,0
129890,100
221840,500
263770,100
002290,500
257990,500
051390,500
224110,500
002360,500
418250,500
376290,500
383930,500
307280,500
097780,1000
082660,500
128540,100
044960,500
000215,5000
178780,500
048770,500
171010,500
464500,500
119500,500
073110,500
140520,500
464280,100
001000,100
263700,500
420570,500
398120,100
220180,500
317240,100
019770,500
051630,500
232830,500
002920,500
023440,500
417860,500
032790,500
020760,500
363260,500
069460,500
049830,500
122830,100
354200,1000
022220,500
005030,500
050860,500
083550,500
184230,100
465770,2500
263020,500
008870,5000
270520,100
101240,500
057030,500
462980,500
208860,500
074610,500
068050,500
351870,500
308170,500
290090,500
052600,500
080530,500
206400,500
189330,500
037370,1000
444530,500
359090,100
046390,200
288330,500
200780,200
270870,500
450520,500
145270,0
000760,5000
025750,1000
277410,100
357430,0
014570,500
057680,500
024120,500
008250,5000
013810,500
475460,100
256150,500
016670,500
133750,500
038870,500
003535,5000
065950,500
195500,500
203450,500
271830,100
142760,500
290120,500
475660,500
039290,500
084870,500
123570,500
200230,1000
462510,500
007720,500
021880,500
065650,500
434480,100
340810,500
466910,100
200580,500
257370,500
002880,500
043200,500
114630,500
159910,100
086060,500
469750,100
109820,500
291230,100
019490,500
318020,100
204020,500
019175,500
239610,500
221980,500
012620,500
373170,100
075970,1000
239340,100
356890,200
131100,500
35320K,500
025440,500
017040,500
228340,500
020180,500
290560,100
351320,100
318410,500
254120,100
150900,500
002870,500
452980,100
290520,500
223310,100
064090,500
430690,500
153490,500
455180,500
195990,500
263920,500
109960,500
065370,500
045060,500
010640,500
118000,500
006200,500
134790,500
285800,100
014910,500
464580,500
038620,500
075130,500
177830,500
347770,500
066910,500
027580,500
286750,500
000040,500
059100,500
262840,100
053290,500
112190,500
064520,500
038530,100
298060,500
310870,100
318000,200
130500,500
187270,500
146060,100
438700,500
032580,500
148780,500
354390,2500
035200,500
296640,500
021650,500
355390,500
238490,500
101000,500
225220,500
038060,500
196490,500
017000,5000
169330,500
099390,500
377220,100
004870,500
071850,500
079170,500
049120,500
009140,5000
013000,500
050120,50120
284620,500
147760,500
001070,1000
123010,500
068940,200
387570,100
001810,500
044480,100
187220,500
33637K,100
337840,500
462310,100
094860,500
451700,100
274400,500
353590,500
123840,1000
263050,500
019660,500
027040,100
092600,500
056730,500
005320,5320
005820,5000
090370,2500
023150,500
115480,500
290270,500
342870,500
004365,500
073570,500
303030,2
162120,500
060540,500
210120,200
038950,500
002690,500
333050,100
131220,500
322970,500
405920,5000
900300,1
009730,500
048470,500
252500,100
440320,100
008470,500
009460,500
024940,500
376980,500
434190,500
090150,500
179720,500
089140,2500
258790,100
335870,100
002025,5000
367000,500
495810,100
301300,500
304840,500
051380,500
068100,500
088790,500
014130,500
039740,500
006740,500
446070,1000
045510,500
236810,100
018680,500
270210,500
446440,500
054220,500
024890,500
208710,500
131090,500
227420,500
900310,900310
009810,500
003680,5000
115160,500
115610,500
033250,500
066900,500
005360,1000
303530,500
900340,1
024070,500
397810,500
258830,100
039310,500
045300,500
069140,500
002420,500
032750,500
431190,500
006570,1000
047080,500
033050,1000
148930,500
063760,500
246250,500
123750,500
