기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSPI,맥쿼리인프라,088980,11410,2.0,-1.0,-2.1,1.9,-1.8
2026-03-27,KOSPI,메리츠금융지주,138040,113900,-2.3,4.9,-10.0,-5.7,-1.8
2026-03-27,KOSPI,CJ제일제당,097950,216000,1.2,3.1,-5.7,-8.9,-2.4
2026-03-27,KOSPI,넷마블,251270,51800,-1.9,-2.3,-13.5,28.7,-2.5
2026-03-27,KOSPI,삼성화재,000810,437500,-12.7,-9.1,-1.5,14.4,-2.6
2026-03-27,KOSDAQ,클래시스,214150,53700,-27.7,-8.4,2.9,-14.9,-2.7
2026-03-27,KOSPI,HD현대마린솔루션,443060,178300,-2.8,-4.2,-16.3,40.7,-2.8
2026-03-27,KOSPI,HMM,011200,19380,-3.1,1.3,-12.3,-1.1,-4.7
2026-03-27,KOSDAQ,실리콘투,257720,38550,-27.3,-15.1,-14.1,44.7,-4.8
2026-03-27,KOSDAQ,노타,486990,40250,-6.7,-8.9,0.0,0.0,-5.8
2026-03-27,KOSPI,NAVER,035420,210500,-23.5,-13.7,-1.9,1.7,-6.9
2026-03-27,KOSPI,LG디스플레이,034220,11135,-4.6,-11.2,-7.2,21.7,-7.3
2026-03-27,KOSDAQ,알지노믹스,476830,225500,51.3,0.0,0.0,0.0,-10.3
2026-03-27,KOSPI,SKC,011790,96800,-17.3,-12.9,3.2,-25.5,-10.4
2026-03-27,KOSDAQ,하이젠알앤엠,160190,36600,-56.5,-35.3,6.2,16.4,-10.6
2026-03-27,KOSDAQ,CJ ENM,035760,58900,-21.3,-7.2,-17.5,-3.0,-10.9
2026-03-27,KOSDAQ,씨젠,096530,23100,-19.2,-10.1,-11.0,-6.3,-11.0
2026-03-27,KOSDAQ,JYP Ent.,035900,63900,-13.4,-6.0,-12.1,-24.2,-13.0
2026-03-27,KOSDAQ,스튜디오드래곤,253450,37600,-23.7,-5.3,-16.6,-26.8,-13.2
2026-03-27,KOSDAQ,루닛,328130,34200,-9.1,-8.8,-4.1,-40.3,-15.3
2026-03-27,KOSPI,한국가스공사,036460,34950,-13.0,-15.8,-11.6,0.1,-15.8
2026-03-27,KOSPI,삼양식품,003230,1212000,2.7,-16.1,-22.6,40.9,-16.6
2026-03-27,KOSDAQ,네이처셀,007390,17670,-30.0,-20.4,-16.1,3.9,-17.6
2026-03-27,KOSDAQ,제이앤티씨,204270,16570,-32.0,-22.2,-7.0,-21.5,-19.2
2026-03-27,KOSPI,카카오,035720,48100,-21.7,-18.1,-23.0,11.5,-19.3
2026-03-27,KOSPI,크래프톤,259960,249500,-1.8,-3.1,-23.8,-27.4,-19.5
2026-03-27,KOSDAQ,카카오게임즈,293490,13200,-25.7,-15.4,-18.5,-17.4,-19.9
2026-03-27,KOSPI,SK바이오사이언스,302440,42300,-16.6,-22.8,-10.5,-0.6,-20.3
2026-03-27,KOSPI,LG생활건강,051900,245000,-6.7,-11.4,-17.1,-23.3,-21.0
2026-03-27,KOSDAQ,지아이이노베이션,358570,14570,-7.8,-22.5,-12.7,-0.6,-22.9
2026-03-27,KOSPI,유한양행,000100,99400,-8.0,-18.5,-12.4,-18.5,-23.1
2026-03-27,KOSPI,SK바이오팜,326030,98000,-16.9,-29.9,-0.6,-14.0,-23.6
2026-03-27,KOSDAQ,디어유,376300,31900,-15.3,-5.8,-35.5,-25.8,-24.5
2026-03-27,KOSPI,코웨이,021240,73100,-12.4,-15.0,-29.8,-9.8,-26.4
2026-03-27,KOSDAQ,알테오젠,196170,384000,-7.0,-28.0,-12.4,-0.8,-27.3
2026-03-27,KOSDAQ,에스엠,041510,90400,-22.1,-16.4,-34.9,-10.0,-28.1
2026-03-27,KOSDAQ,와이지엔터테인먼트,122870,56000,-25.0,-13.7,-44.9,-11.1,-30.6
2026-03-27,KOSDAQ,파마리서치,214450,308500,-34.8,-34.4,-54.6,6.0,-46.6
2026-03-27,KOSDAQ,엔켐,348370,43250,-55.0,-43.1,-42.3,-58.8,-56.4
