시장,종목명,종목코드,기준일(월말),기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
KOSDAQ,제이앤티씨,204270,2026-02-28,22200,-8.83,4.23,24.65,5.21,18.51
KOSPI,LG에너지솔루션,373220,2026-02-28,427000,7.29,4.66,21.31,21.31,17.18
KOSDAQ,동성화인텍,033500,2026-02-28,29450,3.88,19.23,-8.4,29.17,16.24
KOSDAQ,이뮨온시아,424870,2026-02-28,8370,-23.0,-22.71,58.22,0.0,15.54
KOSDAQ,인투셀,287840,2026-02-28,50800,1.4,-23.03,66.83,0.0,14.71
KOSDAQ,아난티,025980,2026-02-28,8600,2.26,11.69,-7.33,45.52,14.34
KOSPI,카카오,035720,2026-02-28,62300,1.47,6.13,-0.32,44.38,13.33
KOSPI,메리츠금융지주,138040,2026-02-28,127100,9.01,17.03,0.47,5.22,13.11
KOSDAQ,실리콘투,257720,2026-02-28,43850,-17.26,-3.41,-2.34,64.54,12.46
KOSPI,SKC,011790,2026-02-28,113200,-3.33,1.8,20.68,-12.92,9.86
KOSPI,강원랜드,035250,2026-02-28,19050,9.23,5.89,5.54,18.62,9.36
KOSDAQ,넥스트바이오메디컬,389650,2026-02-28,76000,0.4,-11.01,18.56,42.06,8.81
KOSDAQ,안랩,053800,2026-02-28,65200,-2.1,8.31,8.13,-13.64,8.4
KOSDAQ,메디톡스,086900,2026-02-28,128800,-4.1,3.37,8.14,2.06,8.0
KOSPI,HMM,011200,2026-02-28,21350,6.75,11.55,-3.39,8.98,7.99
KOSDAQ,네이처셀,007390,2026-02-28,21500,-14.85,-3.15,2.14,26.4,6.8
KOSDAQ,씨젠,096530,2026-02-28,26250,-8.22,2.14,1.16,6.49,5.23
KOSPI,한국가스공사,036460,2026-02-28,41200,2.62,-0.72,4.17,18.05,4.59
KOSPI,동서,026960,2026-02-28,27450,5.58,0.18,0.73,16.81,2.76
KOSPI,HD현대마린솔루션,443060,2026-02-28,184300,0.49,-0.97,-13.47,45.46,1.48
KOSDAQ,와이지엔터테인먼트,122870,2026-02-28,74000,-0.94,14.02,-27.17,17.46,1.31
KOSPI,SK바이오팜,326030,2026-02-28,119800,1.53,-14.31,21.5,5.09,0.02
KOSPI,넷마블,251270,2026-02-28,52600,-0.38,-0.75,-12.19,30.68,-0.48
KOSDAQ,엔켐,348370,2026-02-28,76000,-20.92,0.0,1.47,-27.69,-0.62
KOSPI,맥쿼리인프라,088980,2026-02-28,11440,2.23,-0.69,-1.8,2.14,-1.48
KOSDAQ,루닛,328130,2026-02-28,38110,1.25,1.62,6.83,-33.5,-2.24
KOSDAQ,원텍,336570,2026-02-28,7740,-24.27,1.71,-24.27,15.35,-2.84
KOSDAQ,디어유,376300,2026-02-28,38400,1.99,13.44,-22.35,-10.7,-2.96
KOSPI,SK바이오사이언스,302440,2026-02-28,48950,-3.45,-10.68,3.6,15.04,-3.04
KOSPI,CJ제일제당,097950,2026-02-28,214000,0.23,2.15,-6.55,-9.7,-3.54
KOSDAQ,위메이드,112040,2026-02-28,26000,-20.37,-0.57,-7.14,-32.64,-6.49
KOSDAQ,현대힘스,460930,2026-02-28,19530,9.35,5.45,-28.72,16.53,-8.56
KOSPI,LG생활건강,051900,2026-02-28,267000,1.71,-3.44,-9.64,-16.43,-11.2
KOSDAQ,지아이이노베이션,358570,2026-02-28,16140,2.09,-14.1,-3.3,10.13,-11.32
KOSPI,유한양행,000100,2026-02-28,110200,2.04,-9.67,-2.91,-9.6,-11.52
KOSPI,코웨이,021240,2026-02-28,81900,-1.8,-4.77,-21.4,1.11,-13.93
KOSDAQ,넥슨게임즈,225570,2026-02-28,11860,-10.42,-9.33,-14.86,-12.47,-15.3
KOSPI,삼양식품,003230,2026-02-28,1221000,3.47,-15.5,-22.03,41.98,-15.72
KOSDAQ,카페24,042000,2026-02-28,33150,-12.88,-4.6,-13.67,-47.04,-17.35
KOSPI,크래프톤,259960,2026-02-28,248500,-2.17,-3.5,-24.12,-27.66,-19.96
